sk-id-curr,oof_preds
100002,1.0
100003,0.0
100004,0.0
100006,0.0
100007,1.0
100008,0.0
100009,0.0
100010,0.0
100011,0.0
100012,0.0
100014,0.0
100015,0.0
100016,0.0
100017,0.0
100018,0.0
100019,1.0
100020,1.0
100021,0.0
100022,0.0
100023,0.0
100024,0.0
100025,1.0
100026,1.0
100027,0.0
100029,0.0
100030,0.0
100031,1.0
100032,0.0
100033,0.0
100034,0.0
100035,1.0
100036,1.0
100037,0.0
100039,0.0
100040,0.0
100041,0.0
100043,0.0
100044,0.0
100045,0.0
100046,0.0
100047,1.0
100048,1.0
100049,1.0
100050,0.0
100051,1.0
100052,1.0
100053,0.0
100054,0.0
100055,0.0
100056,1.0
100058,0.0
100059,0.0
100060,0.0
100061,0.0
100062,0.0
100063,1.0
100064,1.0
100068,0.0
100069,0.0
100070,0.0
100071,0.0
100072,1.0
100073,0.0
100075,0.0
100076,1.0
100077,0.0
100078,0.0
100079,1.0
100080,0.0
100081,1.0
100082,0.0
100083,0.0
100084,1.0
100085,1.0
100086,1.0
100087,1.0
100088,0.0
100089,1.0
100093,0.0
100094,0.0
100095,0.0
100096,1.0
100097,0.0
100098,1.0
100099,0.0
100100,0.0
100101,0.0
100102,0.0
100103,0.0
100104,0.0
100105,0.0
100108,0.0
100110,1.0
100111,0.0
100112,1.0
100113,0.0
100114,1.0
100115,1.0
100116,0.0
100118,0.0
100119,1.0
100120,1.0
100121,0.0
100122,1.0
100123,0.0
100124,0.0
100125,0.0
100126,0.0
100127,0.0
100129,0.0
100130,1.0
100131,0.0
100132,0.0
100133,1.0
100134,0.0
100135,1.0
100136,0.0
100137,1.0
100138,0.0
100139,1.0
100140,0.0
100142,1.0
100143,0.0
100144,0.0
100145,0.0
100146,0.0
100147,0.0
100148,0.0
100149,1.0
100151,1.0
100152,0.0
100153,1.0
100154,0.0
100155,1.0
100156,0.0
100157,0.0
100158,0.0
100159,0.0
100160,1.0
100161,0.0
100162,1.0
100163,1.0
100164,0.0
100165,0.0
100166,0.0
100167,1.0
100173,0.0
100174,0.0
100175,0.0
100176,0.0
100177,0.0
100178,0.0
100179,0.0
100180,0.0
100181,0.0
100182,1.0
100183,0.0
100185,0.0
100186,0.0
100188,0.0
100189,1.0
100190,0.0
100191,0.0
100192,1.0
100193,0.0
100194,1.0
100195,0.0
100196,0.0
100197,0.0
100198,0.0
100199,0.0
100200,0.0
100201,0.0
100202,0.0
100203,0.0
100204,0.0
100205,1.0
100206,1.0
100207,0.0
100208,0.0
100209,0.0
100210,0.0
100211,1.0
100213,0.0
100214,1.0
100215,0.0
100216,0.0
100217,0.0
100218,0.0
100219,0.0
100220,0.0
100221,0.0
100224,0.0
100225,0.0
100226,0.0
100227,0.0
100228,0.0
100229,0.0
100230,1.0
100231,0.0
100233,0.0
100234,0.0
100235,1.0
100236,0.0
100237,1.0
100238,0.0
100239,0.0
100240,1.0
100242,0.0
100243,0.0
100244,1.0
100246,1.0
100247,1.0
100248,0.0
100249,0.0
100250,0.0
100251,0.0
100252,0.0
100254,0.0
100255,0.0
100257,0.0
100258,0.0
100259,1.0
100260,0.0
100261,0.0
100262,0.0
100263,0.0
100264,0.0
100265,1.0
100266,1.0
100267,0.0
100268,1.0
100269,1.0
100270,0.0
100272,1.0
100273,1.0
100274,0.0
100275,0.0
100276,1.0
100277,0.0
100279,0.0
100281,0.0
100282,0.0
100283,0.0
100284,0.0
100285,1.0
100286,0.0
100287,0.0
100288,1.0
100289,0.0
100290,1.0
100291,1.0
100292,1.0
100293,0.0
100294,0.0
100295,0.0
100296,0.0
100297,0.0
100298,0.0
100299,0.0
100300,1.0
100301,1.0
100302,1.0
100303,1.0
100304,0.0
100305,0.0
100307,0.0
100308,0.0
100309,0.0
100310,1.0
100313,0.0
100314,0.0
100315,0.0
100316,0.0
100317,0.0
100318,0.0
100319,0.0
100320,0.0
100321,1.0
100322,0.0
100323,0.0
100324,1.0
100325,0.0
100326,1.0
100327,1.0
100328,0.0
100329,1.0
100332,0.0
100333,0.0
100334,0.0
100335,0.0
100336,1.0
100337,0.0
100338,0.0
100339,0.0
100340,0.0
100341,0.0
100342,1.0
100343,0.0
100344,0.0
100345,1.0
100346,0.0
100347,0.0
100348,0.0
100349,1.0
100350,0.0
100351,0.0
100353,1.0
100354,1.0
100355,1.0
100356,1.0
100357,0.0
100359,0.0
100360,0.0
100361,0.0
100362,0.0
100363,0.0
100364,0.0
100365,0.0
100366,0.0
100368,0.0
100369,0.0
100370,0.0
100371,0.0
100372,0.0
100373,0.0
100374,0.0
100375,1.0
100376,1.0
100377,0.0
100378,0.0
100379,0.0
100380,0.0
100381,0.0
100383,1.0
100387,0.0
100388,0.0
100389,0.0
100390,0.0
100391,0.0
100392,1.0
100393,0.0
100394,0.0
100395,0.0
100396,1.0
100397,0.0
100398,0.0
100400,0.0
100401,1.0
100402,0.0
100403,1.0
100405,1.0
100406,1.0
100407,0.0
100408,0.0
100409,1.0
100410,0.0
100411,1.0
100412,1.0
100413,0.0
100414,0.0
100415,0.0
100417,0.0
100418,1.0
100419,0.0
100420,0.0
100421,0.0
100423,1.0
100424,1.0
100425,0.0
100427,1.0
100428,0.0
100429,1.0
100430,1.0
100431,1.0
100432,1.0
100433,0.0
100434,0.0
100435,0.0
100436,0.0
100437,0.0
100439,1.0
100440,0.0
100441,0.0
100442,0.0
100443,0.0
100448,0.0
100449,0.0
100451,0.0
100452,1.0
100453,0.0
100454,0.0
100455,0.0
100456,1.0
100457,0.0
100458,0.0
100459,0.0
100460,0.0
100461,0.0
100462,0.0
100463,0.0
100464,0.0
100465,1.0
100467,1.0
100468,0.0
100469,0.0
100470,0.0
100471,0.0
100472,1.0
100473,0.0
100474,0.0
100475,0.0
100476,1.0
100477,1.0
100478,0.0
100479,1.0
100480,1.0
100481,0.0
100482,1.0
100485,0.0
100486,0.0
100487,0.0
100488,0.0
100489,0.0
100490,1.0
100491,1.0
100492,0.0
100493,0.0
100495,1.0
100496,0.0
100497,0.0
